batch,signal,R峰数量,Mean RR (ms),Mean HR (bpm),SDNN (ms),RMSSD (ms),Min HR (bpm),Max HR (bpm)
0,MECG_clean,18,673.1764705882352,89.16279349629778,13.473285114058335,9.273618495495704,85.22727272727273,92.02453987730061
0,MECG_1,18,673.1764705882352,89.16896042452976,14.612645611411573,13.0,85.22727272727273,93.16770186335404
0,FECG_1,26,431.68,139.0183832274689,6.101365967278693,4.898979485566356,135.13513513513513,141.50943396226415
0,MECG_2,18,673.1764705882352,89.17032659203781,14.883864140897884,11.958260743101398,85.22727272727273,93.16770186335404
0,FECG_2,26,431.68,139.02214965646087,6.523802572120036,6.429100507328637,133.92857142857142,142.85714285714286
0,MECG_3,18,673.1764705882352,89.16794634056495,14.475130803025785,11.0,85.22727272727273,92.5925925925926
0,FECG_3,25,449.5,136.189422147177,88.55015773437452,89.5709580262438,69.44444444444444,142.85714285714286
1,MECG_clean,18,659.7647058823529,91.01916353654757,19.517714427426903,8.774964387392123,88.23529411764706,98.03921568627452
1,MECG_1,18,659.7647058823529,91.02215591988217,19.923382656330933,11.180339887498949,87.71929824561404,98.03921568627452
1,FECG_1,27,429.38461538461536,139.77164343692948,7.150255509151672,6.039867548216599,133.92857142857142,142.85714285714286
1,MECG_2,18,660.0,90.98604760438887,19.44222209522358,9.486832980505138,88.23529411764706,98.03921568627452
1,FECG_2,27,429.38461538461536,139.7706745592193,7.060180864974625,6.092618484691126,133.92857142857142,142.85714285714286
1,MECG_3,18,660.0,90.98707739248349,19.595917942265423,9.16515138991168,88.23529411764706,98.03921568627452
1,FECG_3,26,429.6,139.70037962541267,7.023769168568493,6.324555320336759,135.13513513513513,142.85714285714286
2,MECG_clean,18,640.9411764705883,93.67557610444362,17.23539449880425,9.539392014169456,88.75739644970415,98.03921568627452
2,MECG_1,18,641.1764705882352,93.6412471838776,17.249040894052804,9.746794344808963,88.75739644970415,97.40259740259741
2,FECG_1,27,422.7692307692308,141.9270202553574,2.7174648819470297,3.8366652186501757,140.18691588785046,142.85714285714286
2,MECG_2,18,641.1764705882352,93.64350372345298,17.536516523092775,10.535653752852738,88.75739644970415,98.03921568627452
2,FECG_2,27,422.7692307692308,141.92605137764718,2.4707519876781205,2.8844410203711917,140.18691588785046,142.85714285714286
2,MECG_3,18,641.1764705882352,93.64453351154759,17.70676175263862,10.535653752852738,88.75739644970415,98.03921568627452
2,FECG_3,27,422.7692307692308,141.9270202553574,2.7174648819470297,3.919183588453085,140.18691588785046,142.85714285714286
3,MECG_clean,19,633.1111111111111,94.8011142192465,11.786776683010645,9.505416412576073,91.46341463414635,98.03921568627452
3,MECG_1,19,637.1111111111111,94.23642300554219,17.0151796895972,17.354436625492493,87.20930232558139,97.40259740259741
3,FECG_1,28,422.0740740740741,142.16211663751778,3.0118474515195937,2.935197542821371,140.18691588785046,144.23076923076923
3,MECG_2,19,633.3333333333334,94.76993702751925,12.194502136329355,10.128585058838063,91.46341463414635,98.03921568627452
3,FECG_2,28,422.0740740740741,142.16499740255418,3.5726086776377795,4.367713712793351,140.18691588785046,145.63106796116506
3,MECG_3,19,633.1111111111111,94.79934420279037,11.462926886727383,9.45577943407535,91.46341463414635,98.03921568627452
3,FECG_3,28,422.0740740740741,142.16395670773696,3.395992275133077,4.076197322920545,138.88888888888889,144.23076923076923
