batch,signal,source,P,PR,QRS,ST,T,RR,split_rr,count
0,MECG_clean,自动,73.77777777777777,116.88888888888899,75.11111111111111,89.6470588235294,157.41176470588235,673.1764705882352,390.44235294117647,18
0,AECG_1,自动,,,,,,672.9411764705883,390.3058823529412,17
0,MECG_1,自动,,,,,,673.1764705882352,390.44235294117647,17
0,FECG_1,自动,,,,,,431.68,250.37439999999998,25
0,AECG_2,自动,,,,,,673.1764705882352,390.4423529411765,17
0,MECG_2,自动,,,,,,673.1764705882352,390.44235294117647,17
0,FECG_2,自动,,,,,,431.68,250.37439999999998,25
0,AECG_3,自动,,,,,,673.1764705882352,390.44235294117647,17
0,MECG_3,自动,,,,,,673.1764705882352,390.44235294117647,17
0,FECG_3,自动,,,,,,449.5,260.71,24
1,MECG_clean,自动,68.0,113.77777777777796,72.88888888888889,87.55555555555553,160.22222222222223,659.7647058823529,382.66352941176467,18
1,AECG_1,自动,,,,,,660.0,382.79999999999995,17
1,MECG_1,自动,,,,,,659.7647058823529,382.66352941176467,17
1,FECG_1,自动,,,,,,429.38461538461536,249.0430769230769,26
1,AECG_2,自动,,,,,,660.0,382.79999999999995,17
1,MECG_2,自动,,,,,,660.0,382.79999999999995,17
1,FECG_2,自动,,,,,,429.38461538461536,249.04307692307688,26
1,AECG_3,自动,,,,,,660.0,382.79999999999995,17
1,MECG_3,自动,,,,,,660.0,382.79999999999995,17
1,FECG_3,自动,,,,,,429.6,249.16799999999995,25
2,MECG_clean,自动,65.77777777777777,113.77777777777798,69.77777777777777,82.0,169.55555555555554,640.9411764705883,371.7458823529411,18
2,AECG_1,自动,,,,,,641.1764705882352,371.8823529411764,17
2,MECG_1,自动,,,,,,641.1764705882352,371.8823529411764,17
2,FECG_1,自动,,,,,,422.7692307692308,245.20615384615388,26
2,AECG_2,自动,,,,,,641.1764705882352,371.8823529411764,17
2,MECG_2,自动,,,,,,641.1764705882352,371.8823529411764,17
2,FECG_2,自动,,,,,,422.7692307692308,245.20615384615388,26
2,AECG_3,自动,,,,,,641.1764705882352,371.8823529411764,17
2,MECG_3,自动,,,,,,641.1764705882352,371.8823529411764,17
2,FECG_3,自动,,,,,,422.7692307692308,245.20615384615388,26
3,MECG_clean,自动,73.05263157894737,115.15789473684208,68.42105263157895,82.88888888888881,170.66666666666666,633.1111111111111,367.2044444444444,19
3,AECG_1,自动,,,,,,637.1111111111111,369.52444444444444,18
3,MECG_1,自动,,,,,,637.1111111111111,369.52444444444444,18
3,FECG_1,自动,,,,,,422.0740740740741,244.80296296296297,27
3,AECG_2,自动,,,,,,633.3333333333334,367.3333333333333,18
3,MECG_2,自动,,,,,,633.3333333333334,367.3333333333333,18
3,FECG_2,自动,,,,,,422.0740740740741,244.80296296296297,27
3,AECG_3,自动,,,,,,633.1111111111111,367.2044444444444,18
3,MECG_3,自动,,,,,,633.1111111111111,367.20444444444445,18
3,FECG_3,自动,,,,,,422.0740740740741,244.80296296296294,27
